Word,Gender,Meaning,Meaning_EN
mur,Masculin,벽,wall
jardin,Masculin,정원,garden
ciel,Masculin,하늘,sky
soleil,Masculin,태양,sun
vent,Masculin,바람,wind
pont,Masculin,다리,bridge
lac,Masculin,호수,lake
film,Masculin,영화,movie
quartier,Masculin,동네,neighborhood
village,Masculin,마을,village
métro,Masculin,지하철,subway
train,Masculin,기차,train
camion,Masculin,트럭,truck
vin,Masculin,와인,wine
poisson,Masculin,생선,fish
feu,Masculin,불,fire
bois,Masculin,숲,wood
monde,Masculin,세계,world
pays,Masculin,나라,country
rêve,Masculin,꿈,dream
travail,Masculin,일,work
sport,Masculin,스포츠,sport
jeu,Masculin,게임,game
temps,Masculin,시간,time
jour,Masculin,날,day
matin,Masculin,아침,morning
soir,Masculin,저녁,evening
sourire,Masculin,미소,smile
sens,Masculin,감각,sense
bruit,Masculin,소음,noise
respect,Masculin,존경,respect
ceinture,Feminin,벨트,belt
veste,Feminin,재킷,jacket
culture,Feminin,문화,culture
danse,Feminin,춤,dance
salle,Feminin,방,room
tour,Feminin,탑,tower
radio,Feminin,라디오,radio
chanson,Feminin,노래,song
balcon,Masculin,발코니,balcony
progrès,Masculin,발전,progress
lit,Masculin,침대,bed
grand,Masculin,큰,big
petit,Masculin,작은,small
grande,Feminin,큰,big
petite,Feminin,작은,small
vieux,Masculin,오래된,old
vieille,Feminin,오래된,old
froid,Masculin,차가운,cold
froide,Feminin,차가운,cold
actif,Masculin,활동적인,active
active,Feminin,활동적인,active
viande,Feminin,고기,meat
carte,Feminin,카드,card
lettre,Feminin,편지,letter
vie,Feminin,삶,life
force,Feminin,힘,strength
raison,Feminin,이유,reason
coutume,Feminin,관습,custom
peur,Feminin,두려움,fear
honte,Feminin,수치심,shame
terreur,Feminin,공포,terror
mode,Feminin,패션,fashion
fête,Feminin,축제,party
classe,Feminin,반지,class
gare,Feminin,기차역,train station
fin,Feminin,끝,end
lutte,Feminin,싸움,struggle
désert,Masculin,사막,desert
projet,Masculin,프로젝트,project
mariage,Masculin,결혼,marriage
musée,Masculin,박물관,museum
stade,Masculin,경기장,stadium
bateau,Masculin,배,boat
nord,Masculin,북쪽,north
sud,Masculin,남쪽,south
choix,Masculin,선택,choice
but,Masculin,목표,goal
retour,Masculin,귀환,return
chiffre,Masculin,숫자,number
coût,Masculin,비용,cost
plaisir,Masculin,기쁨,pleasure
mot,Masculin,단어,word
désir,Masculin,욕망,desire
poids,Masculin,무게,weight
style,Masculin,스타일,style
risque,Masculin,위험,risk
repos,Masculin,휴식,rest
corps,Masculin,신체,body
devoir,Masculin,의무,duty
vérité,Feminin,진실,truth
politique,Feminin,정치,politics
justice,Feminin,정의,justice
condition,Feminin,조건,condition
relation,Feminin,관계,relationship
foi,Feminin,믿음,faith
chaleur,Feminin,따뜻함,heat
distance,Feminin,거리,distance
solution,Feminin,해결책,solution
demande,Feminin,요청,request
beauté,Feminin,아름다움,beauty
taille,Feminin,크기,size
vertu,Feminin,미덕,virtue
vision,Feminin,시야,vision
figure,Feminin,얼굴,figure
cerveau,Masculin,뇌,brain
miroir,Masculin,거울,mirror
défaut,Masculin,결점,fault
terrain,Masculin,땅,ground
combat,Masculin,싸움,fight
tissu,Masculin,직물,fabric
tarif,Masculin,요금,rate
en,Neutral,~에서(대명사),in
cela,Neutral,그것(대명사),that
ça,Neutral,이것(대명사),that
ce,Neutral,저것(대명사),this
